GRB	BAT T90 [sec]
051001	189.100
050925	0.070
050922C	4.500
050922B	150.900
050916	49.500
050915B	40.900
050915A	52.000
050911	16.200
050908	19.400
050906	0.258
050904	174.200
050827	50.000
050826	35.500
050824	22.600
050822	103.400
050820B	12.000
050820A	26
050819	37.700
050815	2.900
050814	150.900
050813	0.450
050803	87.900
050802	19.000
050801	19.400
050730	156.500
050726	49.900
050724	96.000
050721	98.400
050717	85.000
050716	69.100
050715	51.600
050714B	46.700
050713B	54.200
050713A	124.700
050712	51.600
050701	21.800
050607	26.400
050603	12.400
050528	11.300
050525A	8.800
050509B	0.073
050509A	11.400
050507	>15
050505	58.900
050502B	17.700
050422	59.300
050421	15.000
050418	82.300
050416B	3.400
050416A	2.500
050412	26.500
050410	42.500
050406	5.400
050401	33.300
050326	29.300
050319	152.500
050318	32
050315	95.600
050306	158.300
050223	22.500
050219B	30.700
050219A	23.700
050215B	8.100
050215A	87.300
050202	0.270
050128	19.200
050126	24.800
050124	4.000
050117	166.600
041228	55.400
041226	89.700
041224	177.200
041223	109.100
041220	5.600
041219C	4.800
041219B	30
041219A	520
041217	5.800
